train_lossXsample,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_Fbeta,val_lossXsample,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_Fbeta,epoch_duration,eval_duration
0.5442428371140376,5461,1713,4624,554,0.7612210761081684,0.9078969243557772,0.8742075942882755,0.5431365356368092,1363,3239,7515,233,0.2961755758365928,0.8540100250626567,0.6203349717822683,4411.332502365112,2319.977122783661
0.5670508877157084,6003,2858,3467,24,0.6774630402889065,0.9960179193628672,0.9104006794261276,0.9824332206355416,1539,5297,5457,57,0.2251316559391457,0.9642857142857144,0.5820726172465961,4315.1121468544015,2211.830450773239
0.4939705904843431,5001,634,5670,1047,0.8874889086069209,0.8268849206349206,0.8383343950112313,0.4182804055059487,1024,1280,9474,572,0.4444444444444444,0.6416040100250626,0.5893186003683242,4512.0697350502005,2366.5263512134547
0.3100487260109325,5715,1069,5337,231,0.8424233490566038,0.9611503531786074,0.934801099188694,0.5408232676451988,1304,2147,8607,292,0.3778614894233556,0.8170426065162907,0.6629384850025419,4474.698338985443,2266.4188561439514
0.3741176670726022,5758,1375,4919,300,0.8072339828963969,0.9504787058435128,0.9179021201976724,0.6373655951167889,1303,2661,8093,293,0.32870837537840564,0.8164160401002506,0.6295902589872439,4513.459779500961,2364.313446521759
0.4035934019505669,6008,2142,4199,3,0.7371779141104294,0.9995009149891864,0.9330931229421632,0.7940859624248767,1529,4079,6675,67,0.27264621968616265,0.9580200501253132,0.6375083388925951,4463.741577386856,2226.5141851902013
0.2432786684309572,5796,529,5764,263,0.9163636363636364,0.9565934972767784,0.9482673996269756,0.3969033942145375,1152,1230,9524,444,0.4836272040302267,0.7218045112781954,0.6570841889117043,4515.852378368379,2392.198980331421
0.24547333816558586,5957,1119,5239,37,0.8418598078010175,0.9938271604938272,0.9591974752028852,0.5263785738018361,1359,2394,8360,237,0.3621103117505996,0.8515037593984962,0.670316661734241,4448.964254140854,2227.6235320568085
0.2612252712558588,5560,480,5937,375,0.9205298013245032,0.93681550126369,0.9335124244459366,0.4014801758889727,1106,1103,9651,490,0.5006790402897239,0.6929824561403509,0.6435470731991155,4426.1061737537375,2323.550551891327
0.23620819519973635,5996,1049,5286,21,0.8511000709723208,0.9965098886488284,0.9635843538070902,0.6245080758299422,1383,2310,8444,213,0.3744922826969943,0.8665413533834586,0.6862161357546889,4462.747246026993,2211.509741306305
0.2447467313674061,6014,995,5284,59,0.8580396632900557,0.9902848674460728,0.9606721829973484,0.5753475646982309,1315,2221,8533,281,0.3718891402714932,0.8239348370927319,0.6628024193548387,4478.932404756546,2315.484291553497
0.20222409856578075,6013,917,5405,17,0.8676767676767677,0.9971807628524046,0.9682769726247984,0.5679979057929776,1340,2123,8631,256,0.3869477331793243,0.8395989974937343,0.6804102772417996,4506.835433721541,2280.451350688935
0.19254666825013306,5687,317,6095,253,0.9472018654230512,0.9574074074074074,0.9553487434484612,0.4282988545817402,1110,895,9859,486,0.5536159600997507,0.6954887218045113,0.661580641316009,4683.784133911133,2469.536879777909
0.2905835357586337,5925,970,5378,79,0.8593183466279913,0.9868421052631579,0.9583966872634337,0.7313907370297049,1331,2089,8665,265,0.38918128654970763,0.8339598997493735,0.6788045695634436,3823.102698326111,2194.2953627109528
0.1406330886403089,5957,426,5889,80,0.9332602224659251,0.986748384959417,0.9755658183485637,0.4752099157272563,1176,1119,9635,420,0.5124183006535947,0.7368421052631579,0.6774974075354303,4017.2971460819244,2145.8379786014557
0.22674952820908528,5949,1033,5366,4,0.8520481237467774,0.9993280698807324,0.965934922387478,0.6426384520048072,1400,2331,8423,196,0.37523452157598497,0.8771929824561403,0.6920415224913494,4034.2352821826935,2150.860470056534
0.1459298357560536,5967,641,5738,6,0.902996368038741,0.9989954796584631,0.9781967213114755,0.496464705969158,1309,1747,9007,287,0.4283376963350785,0.8201754385964912,0.6933262711864406,3980.1646435260773,2225.049021244049
0.1310716872272405,5945,365,5952,90,0.9421553090332805,0.9850869925434963,0.9761904761904762,0.472594153813505,1158,1067,9687,438,0.5204494382022472,0.7255639097744361,0.6725519804855384,4056.93212723732,2141.597831249237
0.08542679546043817,5964,316,6063,9,0.9496815286624204,0.9984932194876946,0.9883335542887446,0.5100570681799761,1194,1016,9738,402,0.5402714932126697,0.7481203007518797,0.694670700488713,4086.1965396404266,2273.3657352924347
0.0846792533487043,6087,338,5918,9,0.9473929961089494,0.9985236220472441,0.9878606900581,0.5141653357440161,1207,1093,9661,389,0.5247826086956522,0.756265664160401,0.6949562413634269,4026.3912148475647,2083.954365968704
0.0790102448883838,5970,315,6064,3,0.9498806682577565,0.9994977398292315,0.9891639327965006,0.5326815402942148,1202,1091,9663,394,0.5242040994330571,0.7531328320802005,0.692635703584188,4044.1534917354584,2159.758616924286
0.07717202122955356,6052,328,5969,3,0.94858934169279,0.9995045417010735,0.988888888888889,0.5437221909196753,1213,1094,9660,383,0.5257910706545297,0.7600250626566416,0.6978483488666436,4088.346488237381,2211.1897966861725
0.06692486468683252,5940,255,6152,5,0.9588377723970944,0.9991589571068125,0.9908256880733946,0.551880539563986,1182,962,9792,414,0.5513059701492538,0.7406015037593985,0.6930112570356473,4145.002492189407,2229.419162273407
0.0686073762273001,6019,238,6088,7,0.9619626018858878,0.9988383670760039,0.9912387602516387,0.5617602275281782,1153,918,9836,443,0.5567358763882182,0.7224310776942355,0.6818450620934358,4068.898118019104,2200.1401574611664
